,Primary Template,Template Concentration,template_well,amount of template to add,concentration of template (ng/uL),volume of dilute template prepared,water to add
0,CG6055,20.0,B4,1.0,0.5,40.0,39.0
1,DGRC_1298_-_JN22,30.0,B5,1.0,0.5,60.0,59.0
2,pM37_kG4,40.0,B6,1.0,0.5,80.0,79.0
