,stkprm,stkvol,dilprm,primerconc,pcrvol,templatengs,Q5,DPNI,DPwater,cutsmart,Date,ngdesired,Combinatorial_pcr_params,Time,template pwl number,template concentrations,section
0,100,1,2.5,0.1,25,0.02,0,2,18,5,20241217,100,2,2032,,50.0,frogs
1,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,,50.0,frogs
2,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,,50.0,frogs
3,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,,50.0,frogs
