,Primary Template,Template Concentration,template_well,amount of template to add,concentration of template (ng/uL),volume of dilute template prepared,water to add
0,CG6055,70.0,B4,1.0,0.5,140.0,139.0
1,DGRC_1298_-_JN22,80.0,B5,1.0,0.5,160.0,159.0
2,pM37_kG4,230.0,B6,1.0,0.5,460.0,459.0
