,Number,Name,Assembly Method,Part(s),Assembly Piece ID Number,Part(s).1,Assembly Piece ID Number.1,Part(s).2,Assembly Piece ID Number.2,Part(s).3,Assembly Piece ID Number.3,Part(s).4,Assembly Piece ID Number.4,pcr_frag_tube,pcr_frag_tube_step2,pcr_frag_tube_step3,pcr_frag_tube_step4
0,0,pmas00001,Golden-gate,(pGG),0,(LHA),1,(SFGFP),2,(e3P3eGFP),3,(RHA),4,E11,A1,H1,B1
1,1,pmas00002,Golden-gate,(pGG),0,(LHA),1,(SFGFP),2,(e3P3eGFP),3,(RHA),4,E11,A1,H1,B1
