,frag_loc,conc_assumed,Sequence Length,equimolar ratio,inverse of conc,initial required amount,H20 to add to 1uL of fragment,new Conc,new required amount,final amount to add,location_of_assembly
0,E11,60,2137,1.0,0.016666666666666666,1.6666666666666667,,,,1.6666666666666667,B9
1,A1,60,870,0.4071127749181095,0.016666666666666666,0.6785212915301825,1.9475862068965517,20.355638745905477,1.9999999999999996,1.9999999999999996,B9
2,H1,60,1408,0.658867571361722,0.016666666666666666,1.0981126189362034,,,,1.0981126189362034,B9
3,B1,60,1242,0.5811885821244736,0.016666666666666666,0.9686476368741226,1.0647342995169082,29.05942910622368,2.0,2.0,B9
