,Primary Template,Template Concentration,template_well,amount of template to add,concentration of template (ng/uL),volume of dilute template prepared,water to add
0,CG6055,120.0,B4,1.0,0.5,240.0,239.0
1,DGRC_1298_-_JN22,130.0,B5,1.0,0.5,260.0,259.0
2,pM37_kG4,140.0,B6,1.0,0.5,280.0,279.0
